google.com,0.0578,0.0960
baidu.com,0.5349,1.2672
google.co.in,0.0650,0.0956
google.co.jp,0.0579,0.0947
sohu.com,0.3644,0.4999
sina.com.cn,0.0435,0.0729
google.de,0.0586,0.0938
google.co.uk,0.0572,0.0945
google.com.br,0.0568,0.0955
google.fr,0.0639,0.0950
google.ru,0.0564,0.0961
google.it,0.0585,0.0949
google.es,0.0671,0.0964
google.com.hk,0.0573,0.0953
google.com.mx,0.0595,0.0930
bing.com,0.0940,0.1162
google.ca,0.0572,0.0938
xvideos.com,0.3754,0.5656
t.co,0.1624,0.3278
msn.com,0.0922,0.1325
aliexpress.com,0.1348,0.2076
hao123.com,4.0105,4.6448
google.com.au,0.0570,0.0932
google.com.tr,0.0571,0.0945
google.com.tw,0.0576,0.0949
whatsapp.com,0.2045,0.2009
google.co.id,0.0609,0.1111
google.pl,0.0570,0.0955
espn.com,0.3463,0.5281
adobe.com,0.0233,0.0496
google.com.ar,0.0600,0.0935
googleusercontent.com,0.0439,0.0808
google.com.ua,0.0569,0.0942
xnxx.com,0.3091,0.4250
google.com.pk,0.0597,0.0998
uptodown.com,0.0157,0.0374
google.com.eg,0.0558,0.1055
google.com.sa,0.0568,0.0949
google.co.th,0.0572,0.0922
cnn.com,0.0400,0.0751
google.nl,0.0574,0.0941
google.co.ve,0.0571,0.0972
google.co.za,0.0590,0.0945
hicpm5.com,0.0206,0.0503
dailymotion.com,0.2010,0.3913
google.co.kr,0.0579,0.0956
google.gr,0.0583,0.0975
google.com.ph,0.0570,0.0949
google.com.sg,0.0573,0.0948
google.se,0.0576,0.0944
google.be,0.0572,0.0953
google.co.ao,0.0578,0.0939
google.com.co,0.0574,0.0941
google.az,0.0576,0.0946
iwanttodeliver.com,0.1832,0.3736
onoticioso.com,0.0317,0.0705
adf.ly,0.1028,0.1203
alibaba.com,0.2482,0.4100
google.at,0.0562,0.1103
google.com.ng,0.0575,0.0948
4chan.org,0.1888,0.2494
google.com.vn,0.0579,0.0956
google.ch,0.0578,0.0958
google.pt,0.0627,0.1045
google.no,0.0571,0.0967
google.cz,0.0578,0.0960
google.com.pe,0.0687,0.0951
google.cl,0.0572,0.1096
google.ae,0.0593,0.1073
google.ro,0.0578,0.0962
mama.cn,2.6759,1.9343
