,child,parent
0,n02119789,n02118333
1,n02478875,n02471300
2,n02473983,n02471762
3,n02100735,n02100399
4,n02390258,n02374149
5,n02110185,n02109811
6,n02338449,n02329401
7,n02431976,n02430045
8,n02391617,n02374149
9,n02333546,n02331046
10,n02090253,n02087551
11,n02078574,n02077923
12,n02485988,n02484473
13,n02129991,n02127808
14,n02096294,n02092468
15,n02337332,n02336641
16,n02102040,n02101861
17,n02073831,n02073250
18,n02431542,n02431122
19,n02140268,n02139671
20,n02430830,n02430045
21,n02430830,n01321854
22,n02418064,n02401031
23,n02101670,n02101108
24,n02385348,n02382948
25,n02115335,n02083346
26,n02336641,n02330245
27,n02455135,n02454379
28,n02390101,n02374149
29,n02066245,n02063224
30,n02427032,n02426813
31,n02388453,n02388276
32,n02341475,n02339376
33,n02147591,n02145424
34,n02456275,n02454379
35,n02496913,n02469914
36,n02509815,n02507649
37,n02149653,n02149420
38,n02131653,n02075296
39,n02424085,n02419796
40,n02378625,n02378415
41,n02133400,n02133161
42,n02443959,n02443808
43,n02424695,n02419796
44,n02090475,n02087551
45,n02070776,n02070430
46,n02360781,n02355227
47,n02132788,n02132136
48,n02491329,n02491107
49,n02508213,n02508021
50,n02392824,n02391994
51,n02385776,n02382948
52,n02357585,n02355477
53,n02457945,n02456962
54,n02424589,n02424305
55,n02367492,n02329401
56,n02124075,n02121808
57,n02476870,n02476219
58,n02417914,n02417534
59,n02499808,n02496913
60,n02095050,n02092468
61,n02084732,n02084071
62,n02123394,n02121808
63,n02125311,n02124623
64,n02151230,n02150482
65,n02409202,n02407959
66,n02423022,n02419796
67,n02333190,n02332755
68,n02346627,n02329401
69,n02403231,n02402425
70,n02403231,n01321230
71,n02479634,n02471300
72,n02363351,n02363005
73,n02077923,n02076779
74,n02342534,n02339376
75,n02369293,n02329401
76,n02333819,n02333546
77,n02374149,n02373336
78,n02135610,n02135220
79,n02110063,n02109811
80,n02345340,n02344528
81,n02370137,n02153809
82,n02407172,n02406174
83,n02447366,n02441326
84,n02109047,n02103406
85,n02418465,n02418064
86,n02095727,n02095412
87,n02407276,n02404186
88,n02089867,n02089555
89,n02125081,n02124623
90,n02444251,n02443808
91,n02438580,n02394477
92,n02102177,n02101861
93,n02129923,n02129604
94,n02091134,n02090827
95,n02323449,n01886756
96,n02386853,n02386496
97,n02147947,n02145424
98,n02390938,n02390834
99,n02092002,n02087551
100,n02469914,n01886756
101,n02398141,n02397529
102,n02417534,n02416519
103,n02088839,n02087551
104,n02086753,n02086346
105,n02145910,n02145424
106,n02343320,n02342885
107,n02071294,n02068974
108,n02327175,n02327028
109,n02379430,n02377703
110,n02478077,n02471762
111,n02381364,n02377703
112,n02089555,n02087551
113,n02405799,n02404186
114,n02442845,n02441326
115,n02068974,n02066707
116,n02403644,n02403454
117,n02346170,n02344528
118,n02129837,n02129604
119,n02109150,n02103406
120,n02347573,n02346998
121,n02504458,n02503517
122,n02127678,n02127052
123,n02068541,n02068206
124,n02066707,n02062744
125,n02403153,n02402425
126,n02073250,n02062017
127,n02488415,n02488291
128,n02359915,n02355227
129,n02389779,n02389559
130,n02141713,n02141306
131,n02092339,n02087551
132,n02127292,n02127052
133,n02382948,n02374451
134,n02429456,n02399000
135,n02332755,n02330245
136,n02351870,n02329401
137,n02473720,n02473307
138,n02486657,n02486410
139,n02505998,n02503127
140,n02098105,n02092468
141,n02095412,n02092468
142,n02358584,n02358091
143,n02334728,n02334460
144,n02122298,n02121808
