,gloss,wnid,words
0,(botany) a living organism lacking the power of locomotion,n00017222,"plant, flora, plant life"
1,photosynthetic or plant constituent of plankton; mainly unicellular algae,n01383896,phytoplankton
2,unicellular algae,n01384084,planktonic algae
3,microscopic unicellular marine or freshwater colonial alga having cell walls impregnated with silica,n01401106,diatom
4,microscopic plants; bacteria are often considered to be microflora,n11530008,microflora
5,a cultivated plant that is grown commercially on a large scale,n11530512,crop
6,a readily salable crop that is grown and gathered for the market (as vegetables or cotton or tobacco),n13086063,cash crop
7,a crop that grows quickly (e.g. lettuce) and can be planted between two regular crops grown in successive seasons or between two rows of crops in the same season,n13086220,catch crop
8,crop planted to prevent soil erosion and provide green manure,n13086438,cover crop
9,"a crop (other than fruits or vegetables) that is grown for agricultural purposes; ""cotton, hay, and grain are field crops""",n13086556,field crop
10,corn grown primarily for animal feed or market grain,n12144399,field corn
11,corn whose kernels contain both hard and soft starch and become indented at maturity,n12144987,"dent corn, Zea mays indentata"
12,corn having kernels with a hard outer layer enclosing the soft endosperm,n12145148,"flint corn, flint maize, Yankee corn, Zea mays indurata"
13,corn having kernels almost entirely of soft starch,n12145325,"soft corn, flour corn, squaw corn, Zea mays amylacea"
14,crop grown for its enlarged roots: e.g. beets; potatoes; turnips,n13126308,root crop
15,"a plant that is native to a certain limited area; ""it is an endemic found only this island""",n11530715,endemic
16,an organism that produces its own food by photosynthesis,n11530860,holophyte
17,a plant that does not bear flowers,n11530990,non-flowering plant
18,a young plant or a small plant,n11531090,plantlet
19,a wild uncultivated plant (especially a wild apple or crabapple tree),n11531193,wilding
20,wild or uncultivated flowering plant,n11672400,"wildflower, wild flower"
21,small early-flowering buttercup with shiny yellow flowers of western North America,n11721844,"sagebrush buttercup, Ranunculus glaberrimus"
22,any plant of the genus Pulsatilla; sometimes included in genus Anemone,n11737534,"pasqueflower, pasque flower"
